club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,
Ajax Amsterdam,Mohamed Daramy,19,Right Winger,FC Copenhagen,Â£10.80m,in,Summer,10.8,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Steven Berghuis,29,Right Winger,Feyenoord,Â£4.95m,in,Summer,4.95,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jay Gorter,21,Goalkeeper,Go Ahead Eagles,Â£900Th.,in,Summer,0.9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Remko Pasveer,37,Goalkeeper,Vitesse,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Danilo,22,Centre-Forward,Ajax U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,Huddersfield,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro MagallÃ¡n,27,Centre-Back,Crotone,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,Â£9.00m,out,Summer,9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lassina TraorÃ©,20,Centre-Forward,Shakhtar D.,Â£9.00m,out,Summer,9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,Â£5.40m,out,Summer,5.4,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Kjell Scherpen,21,Goalkeeper,Brighton,Â£4.50m,out,Summer,4.5,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jurgen Ekkelenkamp,21,Central Midfield,Hertha BSC,Â£2.70m,out,Summer,2.7,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,KRC Genk,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro MagallÃ¡n,27,Centre-Back,RSC Anderlecht,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Dominik Kotarski,21,Goalkeeper,HNK Gorica,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Oussama Idrissi,25,Left Winger,Sevilla FC,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Vangelis Pavlidis,22,Centre-Forward,Willem II,Â£2.25m,in,Summer,2.25,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peter Vindahl,23,Goalkeeper,Nordsjaelland,Â£1.62m,in,Summer,1.62,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Aslak Fonn Witry,25,Right-Back,Djurgarden,Â£1.58m,in,Summer,1.58,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Sam Beukema,22,Centre-Back,Go Ahead Eagles,Â£810Th.,in,Summer,0.81,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jelle Duin,22,Centre-Forward,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peer Koopmeiners,21,Defensive Midfield,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Beau Reus,19,Goalkeeper,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,Telstar,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thijs Oosting,21,Attacking Midfield,RKC Waalwijk,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,SC Cambuur,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,Udinese Calcio,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,De Graafschap,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Myron Boadu,20,Centre-Forward,Monaco,Â£15.30m,out,Summer,15.3,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Calvin Stengs,22,Right Winger,OGC Nice,Â£13.50m,out,Summer,13.5,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Teun Koopmeiners,23,Defensive Midfield,Atalanta BC,Â£10.80m,out,Summer,10.8,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Marco Bizot,30,Goalkeeper,Stade Brest 29,Â£4.50m,out,Summer,4.5,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jonas Svensson,28,Right-Back,Adana Demirspor,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,PEC Zwolle,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Ramon Leeuwin,34,Centre-Back,Almere City,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,Roda JC,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,SC Cambuur,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,FC Schalke 04,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Kenzo Goudmijn,19,Central Midfield,Sparta R.,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,Go Ahead Eagles,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Marco Tol,23,Centre-Back,FC Volendam,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Sam Hendriks,26,Centre-Forward,Go Ahead Eagles,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Tom Boere,28,Centre-Forward,SV Meppen,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Maxim Gullit,20,Left-Back,AZ Alkmaar,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Roberts Uldrikis,23,Centre-Forward,FC Sion,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,TamÃ¡s Kiss,20,Left Winger,PuskÃ¡s AFC,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Filip Krastev,19,Attacking Midfield,Lommel SK,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Sven Nieuwpoort,28,Centre-Back,Excelsior,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Ragnar Oratmangoen,23,Right Winger,Go Ahead Eagles,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Giovanni Korte,28,Right Winger,De Graafschap,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Maarten Pouwels,23,Centre-Forward,Almere City,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Jarchinio Antonia,30,Right Winger,NAC Breda,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Stanley Akoy,24,Attacking Midfield,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Delano Ladan,21,Centre-Forward,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Robert MÃ¼hren,32,Centre-Forward,Zulte Waregem,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Joris Kramer,25,Centre-Back,AZ Alkmaar,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marcus Holmgren Pedersen,21,Right-Back,Molde,Â£900Th.,in,Summer,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Gernot Trauner,29,Centre-Back,LASK,Â£900Th.,in,Summer,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Fredrik Aursnes,25,Defensive Midfield,Molde,Â£405Th.,in,Summer,0.405,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ofir Marciano,31,Goalkeeper,Hibernian FC,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Alireza Jahanbakhsh,28,Right Winger,Brighton,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Guus Til,23,Attacking Midfield,Spartak Moscow,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Reiss Nelson,21,Right Winger,Arsenal,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Cyriel Dessers,26,Centre-Forward,KRC Genk,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Naoufal Bannis,19,Centre-Forward,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Dylan Vente,22,Centre-Forward,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Lennard Hartjes,18,Defensive Midfield,Feyenoord U18,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ramon Hendriks,20,Centre-Back,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Denzel Hall,20,Right-Back,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Thijs Jansen,19,Goalkeeper,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Achraf El Bouchataoui,21,Central Midfield,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marouan Azarkan,19,Left Winger,Feyenoord U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Antoni Milambo,16,Attacking Midfield,Feyenoord U18,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Francesco Antonucci,22,Attacking Midfield,FC Volendam,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Sven van Beek,27,Centre-Back,Willem II,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,George Johnston,23,Centre-Back,Wigan,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Luciano Narsingh,30,Right Winger,Twente FC,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Wouter Burger,20,Central Midfield,Sparta R.,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Liam Kelly,25,Central Midfield,Oxford United,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Steven Berghuis,29,Right Winger,Ajax,Â£4.95m,out,Summer,4.95,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Wouter Burger,20,Central Midfield,FC Basel,Â£630Th.,out,Summer,0.63,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ridgeciano Haps,28,Left-Back,Venezia,Â£450Th.,out,Summer,0.45,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,RamÃ³n ten Hove,23,Goalkeeper,Esbjerg fB,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Nicolai JÃ¶rgensen,30,Centre-Forward,Kasimpasa,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Eric Botteghin,34,Centre-Back,Ascoli,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Dylan Vente,22,Centre-Forward,Roda JC,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Liam Kelly,25,Central Midfield,Rochdale,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Nick Marsman,30,Goalkeeper,Inter Miami CF,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,George Johnston,23,Centre-Back,Bolton,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Sven van Beek,27,Centre-Back,Heerenveen,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Bart Nieuwkoop,25,Right-Back,Union SG,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Leroy Fer,31,Defensive Midfield,Alanyaspor,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marouan Azarkan,19,Left Winger,Excelsior,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Achraf El Bouchataoui,21,Central Midfield,RKC Waalwijk,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Christian Conteh,22,Left Winger,SV Sandhausen,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Robert Bozenik,21,Centre-Forward,F. DÃ¼sseldorf,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Luciano Narsingh,30,Right Winger,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Lucas Pratto,33,Centre-Forward,River Plate,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Uros Spajic,28,Centre-Back,Krasnodar,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Tijjani Noslin,22,Centre-Forward,TOP Oss,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Yigit Emre Celtik,18,Central Midfield,Altinordu,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Samy Baghdadi,24,Centre-Forward,RC Grasse,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ruben van Kouwen,20,Goalkeeper,NEC U21,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Deroy Duarte,22,Central Midfield,Sparta R.,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Felix Dornebusch,27,Goalkeeper,E. Braunschweig,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Arianit Ferati,23,Attacking Midfield,Waldh. Mannheim,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,MickaÃ«l Tirpan,27,Defensive Midfield,Kasimpasa,?,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ryan Johansson,20,Central Midfield,Sevilla Atl.,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ivo Pinto,31,Right-Back,Dinamo Zagreb,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Nigel Lonwijk,18,Centre-Back,Wolves U23,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Arian Kastrati,20,Centre-Forward,Sittard U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Tom Hendriks,19,Goalkeeper,Sittard U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ronan Pluijmen,18,Left-Back,Sittard U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ã–zgÃ¼r Aktas,24,Centre-Back,FC Dordrecht,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Rasmus Karjalainen,25,Centre-Forward,Ã–rebro SK,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Dimitrios Ioannidis,21,Defensive Midfield,SF Lotte,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,AndrÃ© Vidigal,23,Left Winger,Estoril Praia,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Richie Musaba,20,Attacking Midfield,FC Dordrecht,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Veron Parkes,19,Second Striker,FC Dordrecht,"End of loanJan 25, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Bassala Sambou,23,Centre-Forward,Randers FC,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Jacky Donkor,22,Left Winger,FC Eindhoven,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Adnan Ugur,20,Central Midfield,FC Dordrecht,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Djibril Dianessy,25,Right Winger,MVV Maastricht,"End of loanJun 30, 2021",in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Jacky Donkor,22,Left Winger,FC Dordrecht,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Djibril Dianessy,25,Right Winger,Pau FC,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Dimitrios Ioannidis,21,Defensive Midfield,Rot Weiss Ahlen,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Clint Essers,24,Right-Back,MVV Maastricht,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Sebastian Polter,30,Centre-Forward,VfL Bochum,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ã–zgÃ¼r Aktas,24,Centre-Back,Telstar,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Leroy George,34,Left Winger,De Treffers,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Rasmus Karjalainen,25,Centre-Forward,Helsingborg,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,AndrÃ© Vidigal,23,Left Winger,MarÃ­timo,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Mike van Beijnen,22,Right-Back,FC Den Bosch,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Arian Kastrati,20,Centre-Forward,NK Dekani,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Joshua Wehking,21,Goalkeeper,MVV Maastricht,loan transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Piet Velthuizen,34,Goalkeeper,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Nassim el Ablak,21,Attacking Midfield,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,GrÃ©goire Amiot,26,Centre-Back,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Lazaros Rota,24,Right-Back,Without Club,-,out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Samuel Moutoussamy,25,Central Midfield,FC Nantes,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,MickaÃ«l Tirpan,27,Defensive Midfield,Kasimpasa,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Dario van den Buijs,25,Centre-Back,Beerschot V.A.,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Dimitrios Emmanouilidis,20,Right Winger,Panathinaikos,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Warner Hahn,29,Goalkeeper,RSC Anderlecht,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Yacine Bourhane,22,Central Midfield,Chamois Niort,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Job Schuurman,22,Goalkeeper,NEC Nijmegen,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Mats Deijl,24,Right-Back,FC Den Bosch,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Gerrit Nauber,29,Centre-Back,SV Sandhausen,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Philippe Rommens,24,Attacking Midfield,TOP Oss,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Ragnar Oratmangoen,23,Right Winger,SC Cambuur,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Isac Lidberg,22,Centre-Forward,Gefle,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,IÃ±igo CÃ³rdoba,24,Left Winger,Athletic,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Marc Cardona,26,Centre-Forward,CA Osasuna,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Ogechika Heil,20,Left Winger,Hamburger SV,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Joris Kramer,25,Centre-Back,AZ Alkmaar,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Sven Jansen,16,Goalkeeper,Go Ahead U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Jay Gorter,21,Goalkeeper,Ajax,Â£900Th.,out,Summer,0.9,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Sam Beukema,22,Centre-Back,AZ Alkmaar,Â£810Th.,out,Summer,0.81,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Nicolas Abdat,24,Left-Back,TOP Oss,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Sam Hendriks,26,Centre-Forward,SC Cambuur,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Alessio Budel,21,Goalkeeper,NEC Amateurs,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Jeroen Veldmate,32,Centre-Back,FC Emmen,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Mitchel Michaelis,28,Goalkeeper,Koninklijke HFC,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Wout Droste,32,Right-Back,ÃA Akranes,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Antoine Rabillard,25,Centre-Forward,Concarneau,free transfer,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Julliani Eersteling,19,Right-Back,Utrecht U21,?,out,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Bradly van Hoeven,21,Left Winger,Sparta U21,"End of loanJun 30, 2021",out,Summer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Paulos Abraham,19,Centre-Forward,AIK,Â£1.80m,in,Summer,1.8,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Laros Duarte,24,Central Midfield,Sparta R.,Â£608Th.,in,Summer,0.608,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Daleho Irandust,23,Attacking Midfield,HÃ¤cken,Â£360Th.,in,Summer,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Marin Sverko,23,Centre-Back,SaarbrÃ¼cken,Â£360Th.,in,Summer,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Yahya Kalley,20,Left-Back,IFK GÃ¶teborg,Â£360Th.,in,Summer,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Cyril Ngonge,21,Right Winger,RKC Waalwijk,Â£180Th.,in,Summer,0.18,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Neraysho Kasanwirjo,19,Centre-Back,Ajax U21,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Peter Leeuwenburgh,27,Goalkeeper,Cape Town City,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Michael de Leeuw,34,Centre-Forward,FC Emmen,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Radinio Balker,22,Centre-Back,Almere City,free transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Sebastian Tounekti,19,Left Winger,BodÃ¸/Glimt,loan transfer,in,Summer,NA,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Kian Slor,19,Left Winger,Groningen U21,-,in,Summer,0,Eredivisie,2021,2021/2022,Netherlands
