club_name,player_name,age,position,club_involved_name,fee,fee_cleaned,league_name,year,season,Country
Ajax Amsterdam,Mohamed Daramy,19,Right Winger,FC Copenhagen,£10.80m,10.8,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Steven Berghuis,29,Right Winger,Feyenoord,£4.95m,4.95,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Jay Gorter,21,Goalkeeper,Go Ahead Eagles,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Remko Pasveer,37,Goalkeeper,Vitesse,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Razvan Marin,25,Central Midfield,Cagliari Calcio,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Danilo,22,Centre-Forward,Ajax U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Noa Lang,22,Left Winger,Club Brugge,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Carel Eiting,23,Defensive Midfield,Huddersfield,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Ajax Amsterdam,Lisandro Magall√°n,27,Centre-Back,Crotone,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Vangelis Pavlidis,22,Centre-Forward,Willem II,£2.25m,2.25,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peter Vindahl,23,Goalkeeper,Nordsjaelland,£1.62m,1.62,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Aslak Fonn Witry,25,Right-Back,Djurgarden,£1.58m,1.58,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Sam Beukema,22,Centre-Back,Go Ahead Eagles,£810Th.,0.81,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Bruno Martins Indi,29,Centre-Back,Stoke City,?,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Maxim Gullit,20,Left-Back,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jelle Duin,22,Centre-Forward,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Peer Koopmeiners,21,Defensive Midfield,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Beau Reus,19,Goalkeeper,AZ Alkmaar U21,-,0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Jasper Schendelaar,20,Goalkeeper,Telstar,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thijs Oosting,21,Attacking Midfield,RKC Waalwijk,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Joris Kramer,25,Centre-Back,SC Cambuur,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Thomas Ouwejan,24,Left Midfield,Udinese Calcio,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
AZ Alkmaar,Rody de Boer,24,Goalkeeper,De Graafschap,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Marco Tol,23,Centre-Back,FC Volendam,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Sam Hendriks,26,Centre-Forward,Go Ahead Eagles,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Tom Boere,28,Centre-Forward,SV Meppen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Maxim Gullit,20,Left-Back,AZ Alkmaar,?,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Roberts Uldrikis,23,Centre-Forward,FC Sion,?,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Tam√°s Kiss,20,Left Winger,Pusk√°s AFC,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Cambuur-Leeuwarden,Filip Krastev,19,Attacking Midfield,Lommel SK,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marcus Holmgren Pedersen,21,Right-Back,Molde,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Gernot Trauner,29,Centre-Back,LASK,£900Th.,0.9,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Fredrik Aursnes,25,Defensive Midfield,Molde,£405Th.,0.405,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ofir Marciano,31,Goalkeeper,Hibernian FC,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Alireza Jahanbakhsh,28,Right Winger,Brighton,?,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Guus Til,23,Attacking Midfield,Spartak Moscow,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Reiss Nelson,21,Right Winger,Arsenal,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Cyriel Dessers,26,Centre-Forward,KRC Genk,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Naoufal Bannis,19,Centre-Forward,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Dylan Vente,22,Centre-Forward,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Lennard Hartjes,18,Defensive Midfield,Feyenoord U18,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Ramon Hendriks,20,Centre-Back,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Denzel Hall,20,Right-Back,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Thijs Jansen,19,Goalkeeper,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Achraf El Bouchataoui,21,Central Midfield,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Marouan Azarkan,19,Left Winger,Feyenoord U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Antoni Milambo,16,Attacking Midfield,Feyenoord U18,-,0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Francesco Antonucci,22,Attacking Midfield,FC Volendam,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Sven van Beek,27,Centre-Back,Willem II,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,George Johnston,23,Centre-Back,Wigan,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Luciano Narsingh,30,Right Winger,Twente FC,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Wouter Burger,20,Central Midfield,Sparta R.,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Feyenoord Rotterdam,Liam Kelly,25,Central Midfield,Oxford United,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Tijjani Noslin,22,Centre-Forward,TOP Oss,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Yigit Emre Celtik,18,Central Midfield,Altinordu,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Samy Baghdadi,24,Centre-Forward,RC Grasse,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ruben van Kouwen,20,Goalkeeper,NEC U21,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Deroy Duarte,22,Central Midfield,Sparta R.,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Felix Dornebusch,27,Goalkeeper,E. Braunschweig,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Arianit Ferati,23,Attacking Midfield,Waldh. Mannheim,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Micka√´l Tirpan,27,Defensive Midfield,Kasimpasa,?,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ryan Johansson,20,Central Midfield,Sevilla Atl.,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ivo Pinto,31,Right-Back,Dinamo Zagreb,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Nigel Lonwijk,18,Centre-Back,Wolves U23,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Arian Kastrati,20,Centre-Forward,Sittard U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Tom Hendriks,19,Goalkeeper,Sittard U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Ronan Pluijmen,18,Left-Back,Sittard U21,-,0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,√ñzg√ºr Aktas,24,Centre-Back,FC Dordrecht,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Rasmus Karjalainen,25,Centre-Forward,√ñrebro SK,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Dimitrios Ioannidis,21,Defensive Midfield,SF Lotte,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Andr√© Vidigal,23,Left Winger,Estoril Praia,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Richie Musaba,20,Attacking Midfield,FC Dordrecht,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Veron Parkes,19,Second Striker,FC Dordrecht,"End of loanJan 25, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Bassala Sambou,23,Centre-Forward,Randers FC,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Jacky Donkor,22,Left Winger,FC Eindhoven,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Adnan Ugur,20,Central Midfield,FC Dordrecht,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Fortuna Sittard,Djibril Dianessy,25,Right Winger,MVV Maastricht,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Warner Hahn,29,Goalkeeper,RSC Anderlecht,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Yacine Bourhane,22,Central Midfield,Chamois Niort,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Job Schuurman,22,Goalkeeper,NEC Nijmegen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Mats Deijl,24,Right-Back,FC Den Bosch,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Gerrit Nauber,29,Centre-Back,SV Sandhausen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Philippe Rommens,24,Attacking Midfield,TOP Oss,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Ragnar Oratmangoen,23,Right Winger,SC Cambuur,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Isac Lidberg,22,Centre-Forward,Gefle,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,I√±igo C√≥rdoba,24,Left Winger,Athletic,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Marc Cardona,26,Centre-Forward,CA Osasuna,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Ogechika Heil,20,Left Winger,Hamburger SV,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Joris Kramer,25,Centre-Back,AZ Alkmaar,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Go Ahead Eagles,Sven Jansen,16,Goalkeeper,Go Ahead U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Paulos Abraham,19,Centre-Forward,AIK,£1.80m,1.8,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Laros Duarte,24,Central Midfield,Sparta R.,£608Th.,0.608,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Daleho Irandust,23,Attacking Midfield,H√§cken,£360Th.,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Marin Sverko,23,Centre-Back,Saarbr√ºcken,£360Th.,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Yahya Kalley,20,Left-Back,IFK G√∂teborg,£360Th.,0.36,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Cyril Ngonge,21,Right Winger,RKC Waalwijk,£180Th.,0.18,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Neraysho Kasanwirjo,19,Centre-Back,Ajax U21,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Peter Leeuwenburgh,27,Goalkeeper,Cape Town City,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Michael de Leeuw,34,Centre-Forward,FC Emmen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Radinio Balker,22,Centre-Back,Almere City,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Sebastian Tounekti,19,Left Winger,Bod√∏/Glimt,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Kian Slor,19,Left Winger,Groningen U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Thomas Poll,20,Left-Back,Groningen U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Bjorn Meijer,18,Left-Back,Groningen U18,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Romano Postema,19,Centre-Forward,FC Den Bosch,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Nicklas Strunck Jakobsen,22,Central Midfield,Esbjerg fB,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Groningen,Jan Hoekstra,23,Goalkeeper,Roda JC,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Milan van Ewijk,20,Right-Back,ADO Den Haag,£540Th.,0.54,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Sven van Beek,27,Centre-Back,Feyenoord,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Xavier Mous,26,Goalkeeper,PEC Zwolle,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Filip Stevanovic,18,Left Winger,Man City,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Anthony Musaba,20,Right Winger,Monaco,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
SC Heerenveen,Nicolas Madsen,21,Defensive Midfield,FC Midtjylland,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Robin Polley,22,Right-Back,ADO Den Haag,£135Th.,0.135,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Sven Sonnenberg,22,Centre-Back,Hansa Rostock,£90Th.,0.09,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Alessandro Damen,31,Goalkeeper,Excelsior,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Bilal Basacikoglu,26,Left Winger,Gaziantep FK,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Robin Jalving,21,Goalkeeper,FC Emmen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Nikolai Laursen,23,Right Winger,FC Emmen,?,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Ruben Roosken,21,Left-Back,TOP Oss,?,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Kaj Sierhuis,23,Centre-Forward,Stade Reims,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Heracles Almelo,Jeremy Cijntje,23,Left Winger,Waasl.-Beveren,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Lasse Sch√∂ne,35,Defensive Midfield,Heerenveen,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Iv√°n M√°rquez,27,Centre-Back,Cracovia,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Pedro Ruiz,21,Centre-Forward,Marseille,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Ilias Bronkhorst,24,Right-Back,Telstar,?,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Magnus Mattsson,22,Left Winger,Silkeborg IF,?,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Calvin Verdonk,24,Left-Back,Famalic√£o,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Ali Akman,19,Centre-Forward,E. Frankfurt,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Rodrigo Guth,20,Centre-Back,Atalanta BC,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Mikkel Duelund,24,Left Winger,Dynamo Kyiv,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Robin Roefs,18,Goalkeeper,NEC U21,-,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Danny Vukovic,36,Goalkeeper,Without Club,-,0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Ole Romeny,21,Centre-Forward,Willem II,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
NEC Nijmegen,Etien Velikonja,32,Centre-Forward,ND Gorica,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Luka Adzic,22,Left Winger,RSC Anderlecht,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Gervane Kastaneer,25,Left Winger,Coventry,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Jasper Schendelaar,20,Goalkeeper,AZ Alkmaar,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Konstantinos Lamprou,29,Goalkeeper,RKC Waalwijk,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Mees de Wit,23,Left-Back,Sporting B,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Mark Pabai,20,Right-Back,Utrecht U21,?,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Siemen Voet,21,Centre-Back,Club Brugge,?,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Daishawn Redan,20,Centre-Forward,Hertha BSC,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
PEC Zwolle,Clint Leemans,25,Central Midfield,De Graafschap,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Jo√´l Drommel,24,Goalkeeper,Twente FC,£3.15m,3.15,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Andr√© Ramalho,29,Centre-Back,RB Salzburg,£2.25m,2.25,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Carlos Vin√≠cius,26,Centre-Forward,Benfica,Loan fee:£2.25m,2.25,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Davy Pr√∂pper,29,Central Midfield,Brighton,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Phillipp Mwene,27,Right-Back,1.FSV Mainz 05,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Marco van Ginkel,28,Central Midfield,Chelsea,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Richard Ledezma,20,Attacking Midfield,PSV U21,-,0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Dante Rigo,22,Defensive Midfield,PSV U21,-,0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Ritsu Doan,23,Right Winger,Arm. Bielefeld,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Derrick Luckassen,26,Centre-Back,Kasimpasa,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Bruma,26,Right Winger,Olympiacos,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
PSV Eindhoven,Michal Sadilek,22,Central Midfield,Slovan Liberec,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Jens Teunckens,23,Goalkeeper,AEK Larnaca,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Michiel Kramer,32,Centre-Forward,ADO Den Haag,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Joel Pereira,25,Goalkeeper,Man Utd,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Thierry Lutonda,20,Left-Back,RSC Anderlecht,?,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Iliass Bel Hassani,28,Attacking Midfield,Ajman Club,?,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Dario van den Buijs,25,Centre-Back,Beerschot V.A.,?,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Achraf El Bouchataoui,21,Central Midfield,Feyenoord,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Jens Odgaard,22,Centre-Forward,Sassuolo,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Issam El Maach,21,Goalkeeper,Without Club,-,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Alexander B√ºttner,32,Left-Back,Without Club,-,0,Eredivisie,2021,2021/2022,Netherlands
RKC Waalwijk,Nando N√∂stlinger,23,Central Midfield,Lokeren-Temse,"End of loanFeb 10, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Laurent Jans,29,Right-Back,Standard Li√®ge,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Aaron Meijers,33,Left-Back,ADO Den Haag,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Vito van Crooij,25,Right Winger,VVV-Venlo,?,0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Kenzo Goudmijn,19,Central Midfield,AZ Alkmaar,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Giannis Masouras,25,Right-Back,Olympiacos,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Sparta Rotterdam,Lassana Faye,23,Left-Back,ADO Den Haag,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Denilho Cleonise,19,Left Winger,Genoa U19,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Ricky van Wolfswinkel,32,Centre-Forward,FC Basel,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Lars Unnerstall,31,Goalkeeper,PSV Eindhoven,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Virgil Misidjan,28,Right Winger,PEC Zwolle,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Robin Pr√∂pper,27,Centre-Back,Heracles Almelo,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Giovanni Troup√©e,23,Right-Back,FC Utrecht,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Vaclav Cerny,23,Right Winger,FC Utrecht,?,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Michel Vlap,24,Attacking Midfield,RSC Anderlecht,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Michal Sadilek,22,Central Midfield,PSV Eindhoven,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Dimitrios Limnios,23,Right Winger,1. FC K√∂ln,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Manfred Ugalde,19,Centre-Forward,Lommel SK,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Jody Lukoki,28,Right Winger,Without Club,-,0,Eredivisie,2021,2021/2022,Netherlands
Twente Enschede FC,Lindon Selahi,22,Central Midfield,Willem II,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Anastasios Douvikas,22,Centre-Forward,Volos NPS,£1.08m,1.08,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Quinten Timber,20,Central Midfield,Ajax U21,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Mike van der Hoorn,28,Centre-Back,Arm. Bielefeld,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Arthur Zagre,19,Left-Back,Monaco,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Nick Venema,22,Centre-Forward,NAC Breda,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Davy van den Berg,21,Central Midfield,Utrecht U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Christopher Mamengi,20,Centre-Back,Utrecht U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Sylian Mokono,22,Right-Back,Utrecht U21,-,0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Justin Lonwijk,21,Central Midfield,Viborg FF,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Mitchell van Rooijen,22,Defensive Midfield,Excelsior,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Vaclav Cerny,23,Right Winger,Twente FC,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Jonas Arweiler,24,Centre-Forward,ADO Den Haag,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
FC Utrecht,Leon Guwara,25,Left-Back,VVV-Venlo,"End of loanJun 30, 2021",0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Daan Reiziger,20,Goalkeeper,Ajax U21,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Toni Domgjoni,22,Central Midfield,FC Z√ºrich,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Romaric Yapi,21,Right-Back,Brighton U23,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Markus Schubert,23,Goalkeeper,FC Schalke 04,free transfer,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Nikolai Baden Frederiksen,21,Centre-Forward,Juventus U23,?,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Julian Von Moos,20,Right Winger,FC Basel,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
Vitesse Arnhem,Yann Gboho,20,Left Winger,Stade Rennais,loan transfer,0,Eredivisie,2021,2021/2022,Netherlands
